name,state,groups,drug-interactions,enzymes,targets,average-mass,monoisotopic-mass
503,1,2,80,83,1,370.422,370.098727764
830,1,6,581,216,1,392.4611,392.199902243
709,1,23,259,50,1,495.6287,495.289720302
1221,1,27,304,138,1,354.4427,354.194342708
133,1,1,201,301,1,361.819,361.10808584
251,1,0,624,245,1,399.443,399.168187529
358,1,0,264,198,1,366.4932,366.219494826
329,1,1,552,539,1,764.9391,764.434692134
759,1,26,1027,109,1,223.2915,223.144652862
691,1,1,235,156,1,328.472,328.16093409
1088,1,33,740,185,1,417.3811,417.130026072
278,1,0,349,207,1,337.4553,337.204179113
231,1,27,131,553,1,277.19,276.079618622
104,1,22,130,109,1,367.44,367.210721053
1128,1,0,285,138,1,392.512,392.099024577
220,1,1,677,340,1,540.697,540.308703757
897,1,22,454,231,1,481.512,481.175004241
1101,1,28,1132,333,1,344.4877,344.23514489
50,1,5,822,442,0,231.2936,231.137162181
72,1,6,410,130,1,322.487,322.24089897
511,1,15,213,537,1,217.2637,217.110278729
163,1,9,1003,116,0,204.2682,204.126263144
715,1,10,399,130,1,193.2423,193.110278729
4,1,9,468,196,0,286.415,286.193280077
3,1,9,1189,130,1,165.2322,165.115364107
436,1,6,604,185,0,341.415,341.185175001
106,1,14,393,267,1,184.1925,184.08479226
458,1,15,108,524,1,313.2832,313.08626947
332,1,15,539,222,0,301.3801,301.167793607
157,1,16,909,495,1,316.153,315.000724604
246,1,15,963,577,1,318.821,318.059361509
2,1,9,470,130,0,323.4287,323.188529049
686,1,18,379,130,1,149.2328,149.120449485
1050,1,27,136,602,1,278.33,278.083746402
1189,1,1,480,615,1,392.572,392.292659768
592,1,0,280,196,1,368.814,368.092770127
900,1,15,987,196,1,324.804,324.102940883
930,1,15,107,286,1,386.794,386.026759579
426,1,0,858,138,1,958.24,957.581356357
1032,1,0,1067,170,1,362.473,362.199428085
775,1,0,986,255,1,281.2661,281.080041233
543,1,0,424,99,1,299.346,299.093976737
641,1,0,843,517,1,628.8008,628.362470666
292,1,1,85,406,1,373.3615,373.106255983
534,1,0,952,237,1,335.872,335.176440176
880,1,1,973,160,1,475.667,475.196333317
1116,1,0,820,137,1,443.625,443.170118567
1237,0,1,231,222,1,400.965,400.137611829
499,1,22,747,410,1,270.2369,270.05282343
978,1,0,837,229,1,403.207,402.034954148
7,1,6,606,185,1,152.1142,152.04465878
1149,1,6,1153,452,1,248.2428,248.081044286
988,1,8,434,196,1,610.5175,610.153384912
898,1,2,1198,579,1,288.4244,288.20893014
276,1,0,445,196,1,690.85,690.32985038
396,1,22,340,196,1,491.683,491.270544117
398,1,6,459,196,1,268.3502,268.146329884
178,1,0,6,79,1,412.6047,412.297745146
9,1,6,605,185,1,165.1527,165.065059871
339,1,6,158,257,0,149.278,149.033290737
486,1,1,673,144,1,516.7092,516.345089268
951,1,22,19,187,1,228.2433,228.07864425
905,1,7,459,196,1,316.4776,316.240230268
700,1,6,1026,109,1,80.023,80.002715916
1043,1,19,1178,538,1,290.4403,290.224580204
836,1,11,340,196,1,507.683,507.265458739
1179,1,22,662,87,1,308.3728,308.173607266
41,1,11,756,548,1,401.84,401.103000462
397,1,6,459,196,1,266.3343,266.13067982
860,1,14,1006,560,1,243.3871,243.198699805
956,1,7,1090,194,1,454.4727,454.227493328
1194,1,22,460,196,1,450.574,450.248269984
340,0,1,44,343,1,328.4883,328.240230268
859,1,33,728,499,1,179.2157,179.094628665
6,1,6,341,196,1,386.5228,386.266838948
931,1,11,732,377,1,302.2357,302.042652674
171,1,6,405,109,1,190.326,190.126559957
191,1,1,508,56,1,179.194,179.025228471
8,1,6,601,185,1,150.138,150.054160834
766,1,6,169,540,1,282.218,282.061612157
1115,1,1,585,212,1,189.218,189.048954601
32,1,11,578,297,1,360.444,360.193674006
259,1,6,899,343,1,146.1427,146.036779436
622,1,22,722,583,1,379.879,379.13390666
771,1,3,243,196,1,308.31,308.046692194
137,1,1,347,208,1,310.3917,310.146998586
687,1,3,1083,309,1,311.36,311.093977213
906,1,5,522,196,1,329.4779,329.214349869
1232,1,33,239,196,1,291.73,291.066221026
655,1,20,330,222,1,323.432,323.199762437
1227,1,5,404,196,1,317.23,316.057512
689,1,21,983,196,0,250.2952,250.11061308
664,1,1,462,196,1,513.6655,513.327917369
263,1,0,533,196,1,276.3707,276.172544634
268,1,1,363,207,1,416.938,416.175437123
289,1,1,94,169,1,175.2303,175.110947431
469,1,1,226,196,1,475.5727,475.243519039
1103,1,1,417,153,1,317.4226,317.199093735
588,1,1,587,196,1,506.7,506.281443634
203,1,1,1039,130,1,379.501,379.247106555
985,1,1,953,393,1,352.346,352.105921623
433,1,0,668,404,1,316.375,316.088163078
357,1,0,270,178,1,556.756,556.297093218
313,1,22,76,567,1,461.379,460.153177494
1130,1,22,660,418,1,178.151,178.049075449
643,1,5,868,523,1,195.69,195.0814772
280,1,22,307,222,1,305.4134,305.177964363
176,1,22,1045,196,1,370.4388,370.178023942
135,1,22,921,132,1,173.2542,173.120449485
720,1,1,323,196,1,246.354,246.173213336
1098,1,22,17,300,1,283.4079,283.193614427
449,1,1,303,196,1,390.4021,390.166745929
232,1,1,244,493,1,456.316,455.090242887
855,1,1,1104,560,1,391.288,390.07894992
959,1,22,483,196,1,941.088,940.446988137
808,1,1,34,513,1,378.891,378.138657687
541,1,0,229,420,1,426.4806,426.195485567
632,1,1,911,159,1,259.132,258.03266843
881,1,1,717,494,0,185.2218,185.084063979
430,1,1,387,587,1,303.3314,303.13830504
101,1,22,971,171,1,457.96,457.1880675
